"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x52_70","MOG_L -- Ins_L","-0.00912782787106074","0.0026344523838032325",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.56632330870622
"x4_183","SFG_pole_L -- PSTG_L","-0.0006683155060707792","0.00019319756818444433",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.39056918015153
"x54_62","IOG_L -- subcallosal_ACC_L","-0.00040808035090874413","0.00011834564055354531",1.0,"1.0",0.0,"0.0",0.0,"0.0",-109.04190227848116
"x26_76","SPG_L -- Caud_L","-0.005425282500772988","0.0015778283752243905",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.7333066237764
"x72_80","Amyg_L -- GP_L","-0.024321200577035948","0.0070881528842376505",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.50554511072313
"x4_28","SFG_pole_L -- SMG_L","-0.00030613150932365553","8.928796849048871e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.42141997115172
"x28_40","SMG_L -- MTG_L_pole","-0.004031487011187152","0.0011800553382254589",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.03460566440303
"x38_64","MTG_L -- subgenual_ACC_L","-0.0007857021217960797","0.00023039943367524876",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.83916555996089
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L","-0.13814645461000066","0.04053268201023248",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.77906261776248
"x2_72","SFG_PFC_L -- Amyg_L","-0.0008305691198128709","0.0002438653170101703",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.70248943191946
"x22_76","PoCG_L -- Caud_L","-0.01286641141112818","0.003778555480783958",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.67915299606653
"x24_48","PrCG_L -- FuG_L","-0.014977308584083191","0.0044032426673476285",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.5625667785963
"x78_187","Put_L -- PSIG_L","-0.038224016523012376","0.011282564979483958",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.13428529100094
"x34_183","STG_L -- PSTG_L","-0.166283671907393","0.049337606756926174",1.0,"1.0",0.0,"0.0",0.0,"0.0",-106.57897200287258
"x6_8","MFG_L -- MFG_DPFC_L","-0.14364629481983754","0.04295760169806211",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.7436754192041
"x4_40","SFG_pole_L -- MTG_L_pole","-0.0005567063957894727","0.00016653527992990387",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.71094601809888
"x4_38","SFG_pole_L -- MTG_L","-0.0007703123573076394","0.00023182104522687176",1.0,"1.0",0.0,"0.0",0.0,"0.0",-105.07853402531488
"x4_185","SFG_pole_L -- PSMG_L","-0.0009505588502840409","0.00028697717613121606",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.74460225206704
"x30_34","AG_L -- STG_L","-0.0568261103491459","0.01716457323235994",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.69234325767181
"x52_181","MOG_L -- PIns_L","-0.02301177644713776","0.006954771698446984",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.6326604737036
"x14_30","IFG_triangularis_L -- AG_L","-0.08771319322357259","0.026510246464527813",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.6287788399392
"x42_60","ITG_L -- rostral_ACC_L","-0.0003994563195337663","0.00012074037670081759",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.6204948163092
"x62_187","subcallosal_ACC_L -- PSIG_L","-0.0004094348465564026","0.00012426972106247594",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.18842639140175
"x68_70","PCC_L -- Ins_L","-0.0028215330860033067","0.0008565741350606577",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.16460969443543
"x4_187","SFG_pole_L -- PSIG_L","-0.00031854331641485223","9.684773890594418e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.01093765058552
"x14_185","IFG_triangularis_L -- PSMG_L","-0.0806327130294395","0.024583346285126977",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.72185467933227
"x58_187","LG_L -- PSIG_L","-0.10445591968473593","0.03187630029993314",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.62514413006573
"x4_34","SFG_pole_L -- STG_L","-0.0014518966783931375","0.0004437302760227057",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.47052430383081
"x2_52","SFG_PFC_L -- MOG_L","-0.007122467483212622","0.002176881102743276",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.46554884901855
"x2_8","SFG_PFC_L -- MFG_DPFC_L","-0.12317225044276234","0.0379152606751579",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.730364763921
"x20_44","RG_L -- PHG_L","-0.0015104601081484508","0.00046535897310682453",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.64106920910068
"x28_52","SMG_L -- MOG_L","-0.07108356064164682","0.02195909932271543",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.36574484171844
