"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"SOG_L_to_STG_L",-0.01653493184939899,-0.006254864286545675,0.032485413244498836,0.11891044560907713,0.9960769530908524,0.007846093818295014,0.003923046909147507,-2.6640001548958736,"1.0","0.009023007891039264","0.007808372213399364"
"MOG_L_to_STG_L",-0.046814733472635435,-0.0018917422117508459,0.042987426178973345,0.15446284983391204,1.0,5.609151666934046e-18,2.804575833467023e-18,-8.806479709919978,"1.0","9.579986757882406e-18","7.974549416588926e-18"
"IOG_L_to_STG_L",0.028855044938163713,0.002415796736275396,0.03875252338998497,0.10849554801736933,6.354502054968404e-13,1.2709004109936809e-12,0.9999999999993645,7.1896932556136965,"2.3573152784560208e-12","1.9400913353664597e-12","1.0"
"Cu_L_to_STG_L",0.0007249880001614976,-0.004845722721922052,0.026678323955287485,0.08270831506210781,0.02044337560355358,0.04088675120710716,0.9795566243964464,2.047330834746625,"0.05329696158609057","0.04579847131964925","1.0"
"LG_L_to_STG_L",0.05539156371144921,-0.009134820306405254,0.07489456233782282,0.26271965185245,8.872086845051422e-14,1.7744173690102843e-13,0.9999999999999113,7.467795502046331,"3.375959516407434e-13","2.761687183346834e-13","1.0"
"rostral_ACC_L_to_STG_L",-2.1126175272229528e-5,3.5072023733025675e-5,0.0002575418832654652,0.0009868930165627524,0.9576620703560648,0.08467585928787033,0.042337929643935165,-1.7258930651247084,"1.0","0.09244674510859262","0.0812982508005063"
"subcallosal_ACC_L_to_STG_L",-0.0014790838271915257,-5.884778430568444e-5,0.000858828200253682,0.0030730678917280365,1.0,1.5244599186783781e-40,7.622299593391891e-41,-13.950416010766029,"1.0","4.185188370907484e-40","3.5377040713724693e-40"
"subgenual_ACC_L_to_STG_L",1.0947979997462767e-5,-6.618369215240413e-5,0.0003345796064347035,0.0012055458121656198,0.02482254844541327,0.04964509689082654,0.9751774515545868,1.9653963227523137,"0.06422834410250683","0.055250188475274686","1.0"
"dorsal_ACC_L_to_STG_L",0.010348992679230173,-0.00010635709119734636,0.006705472035963696,0.016127671379947577,6.049297128889485e-70,1.209859425777897e-69,1.0,19.11278059640302,"7.826278160500771e-69","6.768673003676343e-69","1.0"
"PCC_L_to_STG_L",0.0014623746675235603,0.00023028813138086573,0.01966526552493293,0.05913047343828022,0.2646741734169955,0.529348346833991,0.7353258265830045,0.6292208347648204,"0.6282976364371338","0.549524111307102","1.0"
"Ins_L_to_STG_L",0.008507919053597834,0.003002570764530889,0.018240518103638914,0.06746858956586906,0.006372099500304026,0.012744199000608051,0.993627900499696,2.4953369582922824,"0.017085810836307426","0.014542718815467844","1.0"
"Amyg_L_to_STG_L",0.044064675357054474,-0.0009266733166321473,0.016789359309404322,0.05360847500310822,1.253341772151137e-108,2.506683544302274e-108,1.0,25.12025050532642,"5.1888349367057067e-107","3.760025316453411e-107","1.0"
"Hippo_L_to_STG_L",0.03189953075673967,-0.0005735673139579218,0.019539144298303553,0.062321185837140525,1.4650666618927598e-50,2.9301333237855196e-50,1.0,15.78104496177941,"1.213075196047205e-49","1.0176805335966485e-49","1.0"
"Caud_L_to_STG_L",-0.019493971785866922,-0.0016408290579130367,0.01048439927204117,0.038324226807151585,1.0,9.552768627633039e-43,4.7763843138165195e-43,-14.378362998603658,"1.0","2.8088396390909646e-42","2.365338643445023e-42"
"Put_L_to_STG_L",-0.13531673423462198,-0.005369316441244658,0.047262306712611925,0.1627605723859602,1.0,9.404398328409745e-104,4.7021991642048724e-104,-24.43502007832176,"1.0","1.1870185695004981e-102","9.359184874907775e-103"
"GP_L_to_STG_L",0.01503700575927488,0.00011516445173717365,0.013079586183449527,0.03949521540868773,1.1109752555793046e-27,2.221950511158609e-27,1.0,11.169767134115737,"5.581841696721263e-27","4.527005470569213e-27","1.0"
"Thal_L_to_STG_L",0.02270410161455506,-0.0009682732003973959,0.02463476086930453,0.07401683866914807,1.1773163867424707e-21,2.3546327734849414e-21,1.0,9.708356818981587,"5.3679403536495915e-21","4.2605680429316684e-21","1.0"
"PIns_L_to_STG_L",-0.01236834628122163,0.0013771905446262303,0.015720218002375174,0.054841884908252855,0.9999999999999571,8.567359262202373e-14,4.2836796311011864e-14,-7.568402328595286,"1.0","1.3461612961660455e-13","1.1402574475236813e-13"
"PSTG_L_to_STG_L",-0.18390943367391643,-0.010505989337436746,0.07916394751230248,0.18831970700509887,1.0,3.4407179545897912e-121,1.7203589772948956e-121,-27.026820395508338,"1.0","6.719137892453649e-120","4.946032059722825e-120"
"PSMG_L_to_STG_L",-0.058293534161333295,0.006421364040371471,0.056315146047123066,0.17872514831283504,1.0,1.609639603370718e-26,8.04819801685359e-27,-10.970541342440068,"1.0","3.2349067757062005e-26","2.731109818833923e-26"
"PSIG_L_to_STG_L",0.008993852877455483,0.004520674659070157,0.024250319802554796,0.08421565374751365,0.052094682432637665,0.10418936486527533,0.9479053175673624,1.626355771033094,"0.1308689231014077","0.11327310150794113","1.0"
"MTG_L_to_STG_L_pole",0.06527653022616829,-0.008983020933746018,0.05435923052148057,0.17632690494253714,4.351732210712956e-35,8.703464421425912e-35,1.0,12.787724001541934,"2.618629557027854e-34","2.1245485085320324e-34","1.0"
"MTG_L_pole_to_STG_L_pole",-0.01595928298566944,-0.004017069473276434,0.025549180448012552,0.08433143190661277,0.9999911899707117,1.7620058576693915e-5,8.810029288346957e-6,-4.314058740807917,"1.0","2.2459064811426357e-5","1.8996625652998128e-5"
