,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
59,8.46555389163e-06,0.0,8.46555389163e-06,0.0,0.00050762706837,LG_R,8762.10106383,8810.0,4995.44485117,59
76,1.01990751151e-05,0.0,1.01990751151e-05,0.0,0.00051637522096,Caud_L,8521.18085106,8013.5,5158.46828033,76
101,1.09629034233e-05,0.0,1.09629034233e-05,0.0,0.000450765127043,CST_R,9584.88829787,10071.5,5204.209479,101
98,8.60157438223e-06,0.0,-8.60157438223e-06,0.0,0.00046326060945,Midbrain_L,9426.05851064,9548.5,5027.62030462,98
93,2.96869240055e-05,0.0,-2.96869240055e-05,0.0,0.000546611115502,Snigra_R,8102.30851064,8360.5,4777.13128336,93
116,9.13141973241e-07,0.0,9.13141973241e-07,0.0,0.000495453326143,ACR_L,9282.39361702,9396.0,5077.4503124,116
118,1.72848693947e-05,0.0,1.72848693947e-05,0.0,0.000475622041028,SCR_L,9676.11170213,9633.0,5259.70939081,118
120,2.76895646567e-05,0.0,-2.76895646567e-05,0.0,0.000550819110344,PCR_L,8258.57978723,8277.5,5203.85925622,120
86,3.35295614781e-05,0.0,-3.35295614781e-05,0.0,0.000490130242217,Mynert_L,9125.20212766,9515.0,5204.15870545,86
127,4.32924565961e-05,0.0,-4.32924565961e-05,0.0,0.000466824798862,SCC_R,9563.25,10325.5,5179.61382938,127
129,9.09895413523e-06,0.0,-9.09895413523e-06,0.0,0.000485905476965,TAP_R,9007.71808511,9235.0,4933.81479336,129
77,5.88391423412e-05,0.0,-5.88391423412e-05,0.0,0.000564509107262,Caud_R,8134.81914894,7162.5,5160.68182029,77
